Title,Meaning,Context,Notes
STO,Seamless Transition Office,,
STP,Software Test Plan,,
STP,Stress Treatment Program,,
STR,Service Training Record,,
STR,Service Treatment Record,claims processing,prove service connection
STR,Short Term Rehab,,
STR,Software Test Report,,
STRS,Service Treatment Records,,
ST,Sinus Tachycardia,,
ST,Sore throat,,
ST,Speech therapist,,
STS,Soft Tissue Sarcoma,,
STS,Standards & Terminology Services,,
STVHCS,South Texas Veterans Health Care System,,
SUDEP,Substance Use and Dependence Education Program,,
SUDEP,Sudden Unexpected Death in Epilepsy,,
SUDS,Substance Use Disorder Service,,
SUD,Substance Use Disorders,,
SUDTP,Substance Use Disorders Treatment Program,,
SUN,Sunday,,
SVAC,Senate Veterans Affairs Committee,,
SVH CAP,State Veterans Home Corrective Action Plan,,
SVH,State Veterans Homes,,
SVR,Sustained Virologic Response,,
SV,Schedule Variance,,
SV,Service Voucher,,
SVSO,State Veteran Service Office,submission,
SVSR,Senior Veteran Service Representatives,,
SV,Systems View,,
SV,Systems Viewpoint,,
SVT,Supraventricular Tachycardia,,
SWAG,Smart Wild Ass Guess,,
SWARS,Social Work Automated Reporting System,,
SwA,Software Assurance,,
SWAT,SWift Action and Triage,,
SWOT,"Strengths, Weaknesses, Opportunities, and Threats",,
SWRI,Southwest Research Institute,,
SW,Social Worker,,
SWS,Social Work Service,,
SX,Symptom,,
T2P2,Theater Telemedicine Prototype Project,,
T4,Transformation Twenty-One Total Technology,,
TAC,Technology Acquisition Center,,
TAC,Technology Assessment Committee,,
TAC,Test and Certification (OED ProPath),,
TAFMS,Total active federal military service date,,
TAG,Technical Advisory Group,,
TAMC,Tripler Army Medical Center,,
TAP,Transition Assistance Program,,
TAR-TAS,Technical Analysis Review - Technical Analysis Summary,,
TAR,Technical Agreements Repository,,
TAR,Technical Analysis Review,,
TAR,Test Analysis Report,,
TAS,Technical Analysis Summary,,
TAS,The Appraisal System,,
TAS,Transaction Application Suite,,
TAS,Treasury Account Symbol,,
TA,Technology Assessment,,
T&A,Time & Attendance,,
TATO,Temporary Authority to Operate,,
TAT,Turn Around Time,,
TAVR,Transcatheter Aortic Valve Replacement,,
TBA,To Be Announced,,
TBD,To Be Determined,,
TBE,The Benchmarking Exchange,,
TBI,Traumatic Brain Injury,,
TBO,Telecommunications Business Operations,,
TB,Travel Board,,
TB,Tuberculosis,,
TCCB,Technical Change Control Board,,
TCDB,"Turn, Cough, Deep Breath",,
TCF,Technical Career Field,,
TCHP,Twin Cities Health Professionals (Education Consortium),,
TCMP,Technology Change Management Plan,,
TCM,Transition & Care Management,,
TCP/IP,Transmission Control Protocol/Internet Protocol,,
TCPR,Transportable Computer-based Patient Record,,
TCP,Telephone Care Program,,
TCSC,Telecommunications Customer Service Council (formerly TOB),,
T&C,Terms and Conditions,,
TC,Training Coordinator,,
TCT,Telehealth Clinical Technician,,
TCT,Telephone Call To,,
TCU,Transitional Care Unit,,
TDA,Temporary Duty Assignment,,
TDA,Transfer of Disbursing Authority,,
TDE,Terminology Development Environment,,
TDE,Transparent Data Encryption,,
TDIP,Total Disability Income Provision,,
TDIU,Totally Disabled based on Individual Unemployability,,
TDP,Testing Designated Positions,,
TDRL,Temporary Disability Retired List,,
TDrugs,Notification of Teratogenic Drugs,,
TDS,Terminology Deployment Server,,
TD,"Tetanus Diphtheria, as in immunization",,
TDY,Temporary Duty,,
TEEI,"Office of Transition, Employment and Economic Impact",,
TEFSC,Toxic Embedded Fragment Surveillance Center,,
TEMPO,Training Education Management Program Office,,
TEMP,Temperature,,
TEMP,Temporary,,
TEP,Training Event Package,,
TERA,Temporary Early Retirement Act,,
TERA,Toxic Exposure Risk Activity,TERA screenings are used to help establish a service connection for exposure related Disability claims. Part of PACT Act changes to policy.,
T&E,Test and Evaluation,,
TEVAS,Technical Excellence Value Added Service,,
TFS,Team Foundation Server,,
TF,Timely Filing,,
TFTP,Trivial File Transfer Protocol,,
TF,Treating Facility,,
TFT,Thyroid Function Tests,,
TG,Triglycerides,,
THA,Telemental Health Assistant,,
TH,Transaction History,,
THURS,Thursday,,
TIAG,The Informatics Applications Group,,
TIBOD,Technical Integration Board of Directors,,
TICC,Transformation Initiative Collaboration Cell,,
TIC,Trusted Internet Connection,,a set of devices (routers/switches/etc) for fire-walling all of VA's inbound/outbound network traffic
TIDES,Translating Initiatives for Depression into Effective Solutions,,
TID,Three times daily,,
TIGR Team,"Technology, Innovation, and Government Reform Team",,
TIMPO,Tri-Service Infrastructure Management Program Office,,
TIMS,The Image Management System,,
TIM,Total Inventory Management,,
TINA,Truth in Negotiations Act,,
TINQ,Treasury Inquiry,,
TIN,Tax Identification Number,,
TIPO,Technology Innovation Program Office,,
TIP,Technology Innovation Program,,
TIP,Telecommunications Infrastructure Project,,
TIP,Transformation Initiatives and Pilots,,
TIU,Text Integration Utility,,
TIWG,Technical Integration Working Group,,
TJC,The Joint Commission (formerly JCAHO),,
TJO,Tentative Job Offer,"First, don't-quit-your-other-job-yet, job offer that government makes pending a security review",
TJEB,Transformation Joint Execution Board,,
TKO,To Keep Open,,
TKR,Total Knee Replacement,,
TLCP,Telephone Liaison Care Program,,
TLS,Transitional Living Services,,
TLS,Transport Layer Security,,
TLS,Tumor Lysis Syndrome,,
T&L,Time & Leave,,
TL,Training Letter,,
TMA,Transmetatarsal Amputation,,
TMA,TRICARE Management Activity,,
TMC,Training Management Committee,,
TMC,Travel Management Center,,
TMDQ,Terminology Model Data Quality,,
TMDS,Theater Medical Data Store (DoD acronym),,
TMED,Telemedicine,,
TMH,Telemental Health,,
TMII,Theater Medical Information Infrastructure,,
TMIP,Theater Medical Information Program,,
TMJ,Temporomandibular joint,,
TMOP,TRICARE Mail Order Pharmacy,,
TMO,Telework Managing Officer,,
TMP,Telecommunication Modernization Project,,
TMS,Talent Management System,VA Learning,
TMS,Telepresence Management Suite,,
TM,Technology Management,,
T&M,Time and Materials,,
TMT,Transition Management Team,,
TOB,Telecommunications Oversight Board (now TCSC as of 7/99),,
TOC,Transfer of Care,,
TOD,Tour of Duty,,
TOP,Treasury Offset Program,,
TORB,Telephone order read back,,
TO,Task Order,,
TPA,Third Party Administrator,,
TPA,Trading Partner Agreement(s),,
TPA,Transferring Patient Advocate,,
TPA,Transition Patient Advocate,,
TPI,Two Person Integrity,,
TPJI,Third Party Joint Inquiry,,
TPN,Total Parenteral Nutrition,,
TPR,"Temperature, Pulse, Respiration",,
TPSS,Training Performance Support System,,
TPS,Team Puget Sound,,
TP,Technical Proposal,,
TPWG,Testing Process Work Group,,
TQCVL,Trainee Qualifications and Credentials Verification Letter,,
TQM,Total Quality Management,,
TQS,Terminology Query Services,,
TQT,Tourniquet,,
TRAAC,Telehealth and Rural Access Advisory Committee,,
TRAC2ES,TRANSCOM Regulating and Command Control Evacuation System,,
TRACS,Total Record Archive Communication Systems,,
TRAIT,"Transparency, Accountability, Innovation, and Teamwork",,
TRAP,Telehealth and Rural Access Program,,
TRA,"To run at, as in speed of medication",,
TRFC,Treasury Regional Financial Center,,
TRIMIS,Tri-Services Medical Information System (DoD),,
TRI,Teleretinal Imaging,,
TRM/SP,Technical Reference Model and Standards Profile,,
TRM,Technical Reference Model,,See https://www.oit.va.gov/Services/TRM/TRMHomePage.aspx or may refer to https://www.oit.va.gov/Services/TRM/ToolListSummaryPage.aspx
TRO,"To Run Over, as in intravenous fluids to run over 1 hour",,
TRR,Test Readiness Review,,
TRS,TRICARE Reserve Select,,
TR,Transitional Residence,,
TRUS,Transrectal ultrasound,,
TSA,Telehealth Service Agreement,,
TSA,Test Site Agreement,,
TSI,"Transition Systems, Inc.",,
TSO,Technical Support Office,,
TSO,Telecommunications Support Office,,
TSPR,Technical Services Project Repository,,
TSP,Thrift Savings Plan,,
TSP,Tuition Support Program,,
TSS,Telecommunications Support Service,,
TSS,Telehealth Scheduling System,,
TSS,Total Supply Support,,
TST,Touch Screen Technology,,
TTB,Tub Transfer Bench,,
TTBOMK,To The Best Of My Knowledge,,
TTD,Technology Transfer Division,,
TT&E,Technical Training and Evaluation,,
TTE,transthoracic Echocardiogram,,
TTF,Transformation Task Force,,
TTO,Temporary Transfer,,
TTSI,Technology Tools Solution Identification,,
TTWB,Toe-Touch Weight Bearing,,
TUD,Test User Dashboard,,A tool owned by the Testing Tools Team to facilitate login into va.gov environments (dev/stage/prod) with test user accounts
TUES,Tuesday,,
TURP,Transurethral Resection of the Prostate,,
TVCS,Trend Virus Control Software,,
TVC,Texas Veterans Commission,,
TVC,Traveling Veteran Coordinator,,
TVO,Telephone Verbal Order,,
TWD,Total Weekly Dose,,
TWE,Transitional Work Experience,,
TWIG,Technical Working Integration Group,,
TW,Transitional Work,,
TX,Treatment,,
U3P,Unauthorized Third Party,,
UAT,User Acceptance Testing,,
UA,Urinalysis,,
UBS,Universal Billing System,,
UCC,Uniform Commercial Code,,
UCC,Urgent Care Center,,
UCI,User Class Identifier,,
UCS,Universal Character Set,,
UCUM,Unified Codes for Units of Measure,,
UC,Underpinning Contract,,
UDDI,"Universal Description, Discovery, and Integration",,
UDI,Unique Device Identifier,,
UDI,Usage demand item,,
UDO,Undelivered Orders,,
UDS,Urinary Drug Screen,,
UDS,Urodynamics Study,,
UD,Unit Dose,,
UE,Upper extremity,,
UFH,Unfractionated Heparin,,
UFR,Unfunded Request,,
UFR,Unfunded Requirement,,
UFT,User Functional Test,,
UGI,Upper Gastrointestinal,,
UHCG,Urine pregnancy test,,
UHF,Ultra High Frequency,,
UHID,Universal Healthcare Identifier,,
UI,Universal Interface,,
UI,User Interface,,
UMC,Universal Master Catalog,,
UMDNS,Universal Medical Device Nomenclature System,,
UME,Unreimbursed Medical Expenses,,
UMLS CUI,Unified Medical Language System Concept Unique Identifier,,
UMLS,Unified Medical Language System,,
UML,Unified Modeling Language,,
UM,Utilization Management,,
UOR,Uniform Offense Report,,
U/O,Urinary output,,
UO,Urinary output,,
UPC,Unit Production Cost,,
UPIN,Unique Physician Identification Number,,
UPM,Universal Project Milestone,,
UPN,Universal Principal Name,,
UPN,Universal Product Number,,
UPS,Uninterruptible Power Supply,,
UPT,Urine Pregnancy Test,,
URAC,Utilization Review Accreditation Commission,,
URF,Unsuspected Radiological Findings,,
URI,Unique Record Identifier,,
URI,Upper Respiratory Infection,,
URL,Uniform Resource Locator,,
URL,Universal Record Location,,
UR,Utilization Review,,
USAF,United States Air Force,,
USA,United States Army,,
USB,Under Secretary for Benefits,,
USB,Universal Serial Bus,,
USCG,United States Coast Guard,,
U.S.C.,United States Code,,
USC,United States Code,,
USCDI,United States Core Data for Interoperability,,https://www.healthit.gov/sites/default/files/page2/2020-03/USCDI.pdf
USDA,United States Department of Agriculture,,
USD(P&R),Under Secretary for Defense for Personnel and Readiness,,
USGLI,U.S. Government Life Insurance,,
USG,United States Government,,
USHIK,United States Health Information Knowledgebase,,
USH,Under Secretary for Health,,
USMC,United States Marine Corps,,
USMS,U.S. Marshal Service,,
USN,United States Navy,,
USOC,U.S. Olympic Committee,,
USPHS,U.S. Public Health Service,,
USPS,United States Postal Service,,
USPTF,United States Preventative Services Task Force,,
USPTO,United States Patent and Trademark Office,,
USUHS,Uniformed Services University of the Health Sciences,,
US,United States,,
USVETS,United States Veterans Eligibility Trends and Statistics,,https://www.hsrd.research.va.gov/for_researchers/cyber_seminars/archives/video_archive.cfm?SessionID=3626
UTC,Unable to Contact,,
UTD,Up To Date,,
UTF,UCS Transformation Format,,
UTI,Urinary Tract Infection,,
UTP,Unit Test Plan,,
UTSWMC,University of Texas South West Medical Center,,
UTT,Unable to Test,,
UX,User eXperience,,
V FIB,Ventricular Fibrillation,,
VA STVHCS,VA South Texas Veterans Health Care System,,
VAAA,Veterans Affairs Acquisition Academy,,
VAAFI,Veterans Affairs Authentication Federation Infrastructure,,
VAAR,VA Acquisition Regulations,,
VAAS,VA Assignment System,,
VAAS,VA Automated Appraisal Assignment System,,
VAB,VHA As-Is Baseline,,
VACAA,Veterans Access Choice and Accountability Act of 2014,,
VACERT,Veterans Affairs Certification,,
VACHCS,VA Connecticut Health Care System,,
VACIB,VA Capital Investment Board,,
VA-CIRC,Veterans Affairs Central Incident Response Capability,,
VACIRC,Veterans Affairs Central Incident Response Capability,,
VACM,Veterans Affairs Capabilities Model,,
VACOLS,Veterans Appeals Control and Location System (or Service),,
VACO,Veterans Affairs Central Office,,
VAC,Variance At Completion,,
VAC,Veterans Assistance Center,,
VA,Department of Veterans Affairs (never use DVA),,
VADIR,VA Department of Defense Identity Repository,,
VADS,Veterans Assistance at Discharge System,,
VAEAS,VA Enterprise Archiving Solution,,
VAEB,VA Executive Board,,
VAEC,Veterans Affairs Enterprise Cloud,,
VA-ETP,Veterans Affairs Enterprise Transition Plan,,
VAE,Veterans Affairs Examination,,
VAE,VistA Access Enhancements (VAE),,
VAF,Veterans Affairs Form,,
VAGFE,VA-owned Government Furnished Equipment,,
VAHCPOA,VA Health Care Power of Attorney,,
VAHCS,Department of Veterans Affairs Health Care System,,
VAIIP,VA Innovation Intern Program,,
VAIL, VA Interoperability Leadership team,,
VAIMA,Veterans Appeals Improvement and Modernization Act of 2017,,
VAIOC,VA Integrated Operations Center,,
VAIQ,VA Intranet Quorum (replaced WEBCIMS),,
VAI,Veterans Assistance Inquiry,,
VAKN,VA Knowledge Network,,
VALERI-R, VA Loan Electronic Reporting Interface - Re-engineering,,
VALERI,VA Loan Electronic Reporting Interface,,
VA-LMS,VA Learning Management System,,
VALNET,VA Library Network,,
VALOR,Veterans Affairs Learning Opportunities Residency Program,,
VALO,VA Learning Online,,
VALUE,Veterans Affairs Longitudinal Undergraduate medical Education,,
VALU,VA Learning University,,
VAMAN,Voice Assisted Manikin,,
VAMC,VA Medical Center,,
VAMC,Veterans Affairs Medical Center,,
VA-MDNS,VA Medical Device Nomenclature System,,
VAMF,VA Mobile Framework,,
VAMHCS,VA Maryland Health Care System,,
VAMROC,Veterans Affairs Medical and Regional Office Center,,
VAMS,VistA Automated Monitoring System,,
VAM,Vehicle Allocation Methodology,,
VAM,Voice Access Modernization,,
VANAP,VA Nursing Academic Partnership,,
VANCHCS,VA Northern California Health Care System,,
VANDI,VA National Database of Interns,,
VANEEP,Veterans Affairs National Education for Employees Program,,
VANOD,VA Nursing Outcomes Database,,
VANPC,VA National Partnership Council,,
VA-NSOC,VA Network and Security Operations Center,,also referred to NSOC/ITOPS
VANS,VA Notification System,,
VANTS,VA Nationwide Teleconferencing System,,
VAN,Value Added Network,,
VAONCE,VA Online Certification of Enrollment,,
VAOS,VA Online Scheduling,,
VAO,VA Office,,
VAO,Virtual Acquisition Office,,
VAPAHCS,VA Palo Alto Health Care System,,
VA-PALS,VA Partnership to increase Access to Lung Screening,,
VAPA,Veterans Affairs Palo Alto,,
VAPD,VA Police Department,,
VAPIHCS,Veterans Affairs Pacific Island Health Care System,,
VAPI,VA Protected Information,,
VAPOR,Veterans Affairs Pharmacists Organized for Research,,
VAPSHCS,VA Puget Sound Health Care System,,
VAPS,Veterans Administration Police System,,
VAP,VA Police,,
VAP,VA Profile Service (formerly Vet360),,
VAP,Value Added Process,,
VAP,Ventilator associated pneumonia,,
VAP,Veterans Authorizations and Preferences,,
VARA,Veterans Affairs Rheumatoid Arthritis,,
VARC,Veterans Addiction Recovery Center,,
VARI,Veterans Administration Revenue Information,,
VARO,Veterans Affairs Regional Office,,
VAR,Veteran Appointment Request,,
VASC,Vascular,,
VASH,VA Supported Housing,,
VASI,VA Sensitive Information,,
VASI,VA Systems Inventory,,
VASQIP,VA Surgical Quality Improvement Program,,
VASQUIP,Veteran Affairs Surgical Quality Improvement Program,,
VAST,Veteran Affairs Site Tracking,,
VATAMMCS,Vision Analysis Team Aim Map Measure Change Sustain,,
VA-TAMMCS,Vision-Analysis-Team-Aim-Map-Measure-Change-Sustain/Spread,,
